"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"hoanghd218","Hoang218 ","User","13","44","hoanghd218/ai-employee; hoanghd218/bandoxaynha.ai; hoanghd218/genful-ai; hoanghd218/human-interior-a-Ninh; hoanghd218/landing-page-ai-kientruc-a-Ninh; hoanghd218/learn-revit-api-vibe-coding-2026-english; hoanghd218/linh.aloha.video.ai; hoanghd218/mathsprout; hoanghd218/tranvanhoang.com","9","https://github.com/hoanghd218"
"SHXZ7","Mohammed Shaaz ","User","7","33","SHXZ7/AuditFlow-AI; SHXZ7/MotorGuard-AI; SHXZ7/Node.js-Intern; SHXZ7/StyleSync; SHXZ7/airesumebuilder; SHXZ7/portfolio; SHXZ7/student_prediction; SHXZ7/teachers-connect; SHXZ7/weather_scope","9","https://github.com/SHXZ7"
"ZxAYED","Zayed Iqbal ","User","6","61","ZxAYED/PharmaDesh-backend; ZxAYED/PharmaDesh-frontend; ZxAYED/aryegrunzwieg-backend; ZxAYED/echosOfTheMind; ZxAYED/hein-consultation-nestjs; ZxAYED/portfolio-blogs-backend; ZxAYED/portfolio-blogs-frontend; ZxAYED/z-consult-backend; ZxAYED/z-consult-frontend","9","https://github.com/ZxAYED"
"13prashant","Prashant Patel ","User","4","58","13prashant/chat-responde; 13prashant/cloudflare-app; 13prashant/dhruvi-prashant; 13prashant/floor-foundry; 13prashant/ipangram-app; 13prashant/kenil-weds-mansi; 13prashant/nobounce-guest-ui; 13prashant/propko","8","https://github.com/13prashant"
"A4-AryanArshad","Aryan Arshad ","User","1","97","A4-AryanArshad/Backend12; A4-AryanArshad/MyBackend; A4-AryanArshad/NFTBACKEND; A4-AryanArshad/Vercel-Backend3; A4-AryanArshad/Vercel_Backend1; A4-AryanArshad/Vercel_Backend2; A4-AryanArshad/Vercel_Frontend; A4-AryanArshad/Vercel_Frontend1","8","https://github.com/A4-AryanArshad"
"ALADETAN-IFE","ALADETAN-IFE ","User","6","79","ALADETAN-IFE/Hng-stage3a-fe-audiophile-ecommerce-website; ALADETAN-IFE/NYE-BASH-PAYSTACK; ALADETAN-IFE/NestJs-prac; ALADETAN-IFE/NextJs-Template; ALADETAN-IFE/QuizNova-AI; ALADETAN-IFE/habit-tracker-pwa-hng-stage-3-i14; ALADETAN-IFE/insighta-labs-web-hng-stage-3-i14; ALADETAN-IFE/whisperbox-e2e-hng-stage-4-i14","8","https://github.com/ALADETAN-IFE"
"BernardOnuh","Bernard.O ","User","45","217","BernardOnuh/Afrimo-Database; BernardOnuh/Bizflip-Frontend; BernardOnuh/autodev-agent; BernardOnuh/lifi-agent; BernardOnuh/paga-api-test; BernardOnuh/rubic-test1; BernardOnuh/savefi; BernardOnuh/stakely","8","https://github.com/BernardOnuh"
"biny001","Binyamin Tamirat ","User","6","46","biny001/MedFind; biny001/Metebaber; biny001/Protostore; biny001/better-auth-sample; biny001/dicom-viewer; biny001/nexter-blog; biny001/nexter-car; biny001/portfolio","8","https://github.com/biny001"
"cristians-12","Cristian ","User","9","93","cristians-12/EcommerceTS; cristians-12/MovieTest; cristians-12/SpotifyFull; cristians-12/aprendiendo; cristians-12/games-site; cristians-12/portafolioCristian; cristians-12/tasks; cristians-12/tiktok-clone","8","https://github.com/cristians-12"
"DojoPercy","David ojo ","User","3","46","DojoPercy/POS; DojoPercy/Pelatbboard; DojoPercy/Remade-In; DojoPercy/World-Congress-Business-Leaders; DojoPercy/energyNews; DojoPercy/ilm-business; DojoPercy/portfolio; DojoPercy/skip-hires","8","https://github.com/DojoPercy"
